Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,CkBET,CSAS,CiLISI,CkBET(RQ),CSAS(RQ),CiLISI(RQ),Bio conservation,Batch correction,Total,Modality mixing,RQ mixing
MIDAS,0.388270654742248,0.17794300168290997,0.4379228949546814,0.9800469460694686,0.8878295,0.18337442658164285,0.07554056807017255,0.5825765476739959,0.0,0.45390625,0.20136794032966682,0.000422237860661506,0.013357582209604917,0.20136794032966682,0.49604587436232705,0.4323302562203002,0.4705596271055163,0.21842473010988894,0.07171592013331109
Multigrate,0.589193759732044,0.37446560183561495,0.5133896749466658,0.9859092961186948,0.936785,0.15302577885714444,0.08196986330056051,0.750327711691909,0.0004105933073290905,0.3280864197530864,0.11757210567956082,0.04429133858267716,0.22497619047619044,0.11757210567956082,0.6157395831582548,0.48052708413272216,0.5616545835480418,0.14868970624665875,0.12894654491280946
Palette_harmony,0.6829080312242644,0.5022831346288392,0.5653073042631149,0.9952019919519839,0.8772014,0.20124821229414505,0.19517667891722681,0.710284772030238,0.0456963579320693,0.6372626064178127,0.31713258548376977,0.15359432546719412,0.45923132183908044,0.31713258548376977,0.6864251155170507,0.4959777603967749,0.6102461734689404,0.3333638499445506,0.30998607759668145
Palette_harmony_supervised,0.7130150465437494,0.6280302681884413,0.5983152687549591,0.9966560394867606,0.8816223,0.2204937284643,0.18621125601520908,0.7251434124314652,0.043631245601688955,0.6433333333333333,0.34393785450661196,0.1370996761424973,0.5010783907092492,0.34393785450661196,0.7340041557434777,0.5033676778410249,0.6417495645824965,0.3436341444805448,0.3273719737861195
Palette_fastMNN,0.7008014266706547,0.46014384905565026,0.5632435157895088,0.9951776266098022,0.86188275,0.2546785961497914,0.219805908675611,0.7054475233947382,0.06056472513981721,0.726570351758794,0.41713534914381256,0.33542976939203356,0.7259007150715072,0.41713534914381256,0.679841604531404,0.510453693609944,0.61208644016282,0.4014234753474746,0.49282194453578443
Palette_fastMNN_supervised,0.7402014329991311,0.604697310148802,0.6100478246808052,0.9976032194883927,0.86265,0.2677733464674516,0.2590041756844292,0.7258756736003457,0.0780716723549488,0.7988397952332998,0.4833374044542148,0.32369402985074625,0.7132201646090535,0.4833374044542148,0.7381374468292827,0.5288257932398526,0.6544127853935107,0.4534162906808212,0.5067505329713381
Palette_Seurat,0.6922546913801672,0.5434249732063003,0.5648515373468399,0.9953758820243503,0.84745,0.1995250095020641,0.19627166898974,0.6936453039191424,0.06274723775746828,0.6933207705192631,0.35974766446198997,0.24196827978853191,0.6208207957204948,0.35974766446198997,0.6989767709894144,0.48422300008500585,0.613075262627651,0.3719385575795738,0.40751224665700553
Palette_Seurat_supervised,0.7060105034123967,0.6534185610478739,0.6159330904483795,0.9969064360079558,0.84920067,0.2105322317643599,0.2364778910997147,0.7086022305097641,0.08875658660097174,0.7062908496732027,0.4216817175448278,0.24156161041073607,0.6105109739368999,0.4216817175448278,0.7430671477291515,0.5012032548311535,0.6463215905699522,0.40557638460633405,0.4245847672974879
Palette_denovo,0.6533810717949414,0.3999309989705534,0.5362307094037533,0.9904586232226827,0.8639078,0.29017270695079456,0.30258424493101627,0.7217142044689445,0.19291338582677164,0.7788832199546486,0.5378982828132757,0.41138059701492535,0.7857613908872901,0.5378982828132757,0.6450003508479827,0.5445947425941585,0.6048381075464531,0.5032316295315653,0.5783467569051637
Palette_denovo_supervised,0.7163914120429884,0.6002848904078673,0.6117963939905167,0.9957702367202096,0.85908157,0.3236787102439187,0.45147480483671226,0.7393847982273002,0.2838137472283814,0.8457826439578264,0.6096905673933847,0.5083955223880597,0.849342105263158,0.6096905673933847,0.7310607332903954,0.5934049699104255,0.6759984279384075,0.5797623195265308,0.6558093983482008
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Modality mixing,Modality mixing,Modality mixing,RQ mixing,RQ mixing,RQ mixing,Aggregate score,Aggregate score,Aggregate score,Aggregate score,Aggregate score
