Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,CkBET,CSAS,CiLISI,CkBET(RQ),CSAS(RQ),CiLISI(RQ),Bio conservation,Batch correction,Total,Modality mixing,RQ mixing
MIDAS,0.5188577727878168,0.3611508760989548,0.4474007897078991,0.9872748955436375,0.9019666,0.21247753500938416,0.13513683340825747,0.6605059848554004,0.0,0.38953488372093026,0.22770938225565596,9.061254077564335e-05,0.021310179691473155,0.22770938225565596,0.578671083534577,0.4775217312702258,0.5382113426288365,0.20574808865886207,0.08303672482930159
Multigrate,0.6067797575802233,0.35896960256668364,0.5249994099140167,0.986062537068906,0.93854743,0.20389366149902344,0.13648130963986851,0.7851469774919186,0.0,0.2742092457420925,0.10479000962708462,0.024970004495224234,0.1776224214382109,0.10479000962708462,0.6192028267824574,0.5160173452633621,0.5779286341748193,0.12633308512305905,0.10246081185350658
Palette_harmony,0.6765408046905151,0.4750713712750064,0.5578371658921242,0.9936924602674402,0.8830681,0.2498408555984497,0.23691800701507346,0.6993399314227967,0.061632426429761245,0.5947222222222222,0.3932587519122829,0.10029505890714037,0.3950464061705374,0.3932587519122829,0.6757854505312715,0.5172917196882791,0.6123879581940745,0.349871133521422,0.29620007232998685
Palette_harmony_supervised,0.715156700910666,0.5846378672180723,0.617024801671505,0.9968602035356604,0.8778947,0.2690824568271637,0.29126014880516693,0.7485038783397173,0.07012622720897616,0.6229473039215686,0.4701197606823233,0.09405471755014365,0.4239697813281691,0.4701197606823233,0.7284198933339758,0.5466852958863913,0.655726054354942,0.387731097270956,0.32938141985354535
Palette_fastMNN,0.6891328345351333,0.4675150163342337,0.5599708780646324,0.9938302869382112,0.8733823,0.32549142837524414,0.3876309591500844,0.7156419054549135,0.1896186440677966,0.7722838137472284,0.5266014165438107,0.3504505930170576,0.7261577939184802,0.5266014165438107,0.6776122539680527,0.5755366408290983,0.6367820087124709,0.4961679581196119,0.5344032678264495
Palette_fastMNN_supervised,0.7477780281779934,0.666041948002272,0.626157209277153,0.9974367411240287,0.86771005,0.35218146443367004,0.4497464622071164,0.7462100839064508,0.27292110874200426,0.7983880778588808,0.6322753433573919,0.35739748883152683,0.7115055668016194,0.6322753433573919,0.7593534816453619,0.6039620161169957,0.6971968954340154,0.5678615099860923,0.5670594663301793
Palette_Seurat,0.672146443138488,0.49433714291729597,0.551845122128725,0.9936451289964758,0.8667504,0.25073957443237305,0.2747629032959722,0.6962998119501417,0.12903225806451613,0.6598034437946719,0.4045388857709862,0.20847710383611168,0.5194444779633383,0.4045388857709862,0.6779934592952462,0.5221381772045872,0.6156513464589827,0.39779152921005806,0.3774868225234787
Palette_Seurat_supervised,0.7078794549940032,0.6121858484168111,0.6075966954231262,0.996523380279541,0.86126703,0.2580212354660034,0.31816873413829977,0.7266711757300489,0.12903225806451613,0.6701754385964913,0.489204735329677,0.18631874990780486,0.5198321309449359,0.489204735329677,0.7310463447783704,0.5410320438933643,0.6550406244243681,0.42947081066356146,0.3984518720608059
Palette_denovo,0.6601839197080545,0.4633782168584463,0.546035397797823,0.9903131775234056,0.87118983,0.35609379410743713,0.412702967336042,0.7413928255994784,0.27328589909443723,0.8077279202279202,0.617359513035172,0.48256101366443305,0.788860416490367,0.617359513035172,0.6649776779719323,0.5953448549325839,0.637124548756193,0.5661244441191765,0.6295936477299907
Palette_denovo_supervised,0.7151888523244897,0.5793418146988484,0.6076157838106155,0.995614590852157,0.8679412,0.38591456413269043,0.5386684397303716,0.7629445024144162,0.4036222509702458,0.8723641126391617,0.7104890335637833,0.550596004753727,0.8448025004121118,0.7104890335637833,0.7244402604215276,0.6388671767526658,0.690211026953983,0.662158465724397,0.7019625129098741
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Modality mixing,Modality mixing,Modality mixing,RQ mixing,RQ mixing,RQ mixing,Aggregate score,Aggregate score,Aggregate score,Aggregate score,Aggregate score
