Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,CkBET,CSAS,CiLISI,CkBET(RQ),CSAS(RQ),CiLISI(RQ),Bio conservation,Batch correction,Total,Modality mixing,RQ mixing
MIDAS,0.6458867003538197,0.4110681304028051,0.5418930314481258,0.9973136912221494,0.915915,0.18706610798835754,0.08454753340442091,0.8963942003680705,0.1393188854489164,0.39218396955642765,0.20923208848717056,0.00896583706909878,0.11105278944211161,0.20923208848717056,0.6490403883567251,0.520980713530117,0.5978165184260817,0.2469116478308382,0.10975023833279367
Multigrate,0.6875368558659101,0.4493762901424696,0.5551310032606125,0.9954436499139537,0.93586254,0.2500675916671753,0.2546240165111326,0.8771687037688037,0.009870550161812298,0.1421691792294808,0.09630190434038799,0.22998544395924309,0.6378645833333334,0.09630190434038799,0.6718719497957365,0.5794307132864606,0.6348954551920262,0.08278054457722703,0.32138397721098816
Palette_harmony,0.7319689666032548,0.568442438166668,0.5881844609975815,0.9980811398962269,0.87373286,0.240942120552063,0.27689162923396243,0.7644337581444813,0.3684210526315789,0.6656236227412957,0.5568953976067142,0.21488673139158576,0.5698996655518395,0.5568953976067142,0.7216692514159329,0.5390000931968066,0.6486015881282824,0.530313357659863,0.44722726485004644
Palette_harmony_supervised,0.7638334636441042,0.6119665690674786,0.6410130858421326,0.9991349344668181,0.8775695,0.29339319467544556,0.3794810054872828,0.8015989273518601,0.44258373205741625,0.7803086419753086,0.6882833024244346,0.32727272727272727,0.6683095238095239,0.6882833024244346,0.7539870132551334,0.5880106560365527,0.6875964703677011,0.6370585588190532,0.5612885178355619
Palette_fastMNN,0.7225922179724448,0.4961862935245459,0.576992817223072,0.997135675471762,0.87307835,0.3429172933101654,0.3588229163109385,0.7434827316430498,0.3692556634304207,0.7536850921273033,0.6841333546369408,0.3431818181818182,0.7277372262773721,0.6841333546369408,0.6982267510479562,0.5795753218791487,0.6507661793804332,0.602358036731555,0.585017466365377
Palette_fastMNN_supervised,0.7740811529362103,0.68715977010064,0.6341909170150757,0.9988070000772891,0.86916274,0.37095266580581665,0.4279887171212969,0.7833009714707923,0.6045796308954203,0.8470238095238096,0.8112822681433778,0.38407428249859316,0.7862527472527472,0.8112822681433778,0.7735597100323037,0.6128512731802793,0.7092763352914939,0.7542952361875358,0.6605364326315727
Palette_Seurat,0.7129411226582933,0.50092101176745,0.5854071900248528,0.9977325563845427,0.85988617,0.2295304834842682,0.27021060400868074,0.7755443320987406,0.2590975254730713,0.614320987654321,0.47404840388945385,0.19431133096305456,0.6010769230769231,0.47404840388945385,0.6992504702087847,0.5337928972563208,0.6330674410277992,0.44915563900561534,0.4231455526431438
Palette_Seurat_supervised,0.7765620115587936,0.7244879432356591,0.650179848074913,0.999112782271012,0.8673603,0.25996941328048706,0.3964624521898723,0.8058769284458606,0.49204545454545456,0.7587796480489671,0.6628500300087659,0.36704545454545456,0.7052761533463288,0.6628500300087659,0.7875856462850943,0.582417271945356,0.705518296549199,0.6378917108677292,0.5783905459668497
Palette_denovo,0.7115348665843674,0.4865167259398082,0.5612860210239887,0.9953215277713278,0.88968706,0.3471863567829132,0.4093838540001992,0.7775806120069025,0.46750885252177243,0.8302919491021525,0.7962248981495466,0.4296567248171075,0.8056930693069307,0.7962248981495466,0.688664785329873,0.6059594710249574,0.6555826596079067,0.6980085665911572,0.6771915640911951
Palette_denovo_supervised,0.7762818765348161,0.7085587083125013,0.6357567310333252,0.9985098475995271,0.8823239,0.36699378490448,0.4713286766330982,0.7896912685368136,0.6102272727272727,0.885679012345679,0.8452215388686329,0.5538277511961722,0.8137844611528822,0.8452215388686329,0.7797767908700424,0.627584412700292,0.7188998396021422,0.7803759413138615,0.7376112504058958
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Modality mixing,Modality mixing,Modality mixing,RQ mixing,RQ mixing,RQ mixing,Aggregate score,Aggregate score,Aggregate score,Aggregate score,Aggregate score
