Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,CkBET,CSAS,CiLISI,CkBET(RQ),CSAS(RQ),CiLISI(RQ),Bio conservation,Batch correction,Total,Modality mixing,RQ mixing
MIDAS,0.5820698139519432,0.34729146388361437,0.5325991734862328,0.9964623036591903,0.9146057,0.17597950588573108,0.1025272049292811,0.7349354115628567,0.33846980827808637,0.6896734130634775,0.5833296006635237,0.0009182736455463728,0.02388833166165168,0.5833296006635237,0.6146056887452451,0.4820119498764267,0.5615681931977178,0.5371576073350292,0.20271206865690725
Multigrate,0.6723401351775936,0.42377261769676616,0.5487076416611671,0.9950327095778092,0.92932826,0.1968619389967485,0.15907677271194476,0.8618279524041544,0.007874015748031496,0.09395325203252032,0.029988882892736102,0.3878968253968254,0.735725677830941,0.029988882892736102,0.659963276028334,0.5367737317296967,0.610687458308879,0.04393871689109597,0.3845371287068342
Palette_harmony,0.7254996026153061,0.5312015173002103,0.5880058780312538,0.998111481251924,0.872359,0.2100017937746915,0.17491023751397675,0.7612102060451978,0.36274908499389996,0.6860035603026257,0.5830064746206941,0.17849223946784923,0.4866897326709251,0.5830064746206941,0.7107046197996735,0.5046203037821283,0.6282708933926554,0.5439197066390733,0.41606281558648944
Palette_harmony_supervised,0.7768250129615851,0.6319855043930426,0.639193132519722,0.9992038789002792,0.87479013,0.2402056563984264,0.2964008788308373,0.7906000525729694,0.4473007712082262,0.7520220588235295,0.6508737103668927,0.2572062084257206,0.6039865513928915,0.6508737103668927,0.7618018821936572,0.5504991799619947,0.6772808013009921,0.6167321801328828,0.5040221567285016
Palette_fastMNN,0.7224490324320306,0.48467331493767835,0.5814304649829865,0.9978027758391007,0.86222917,0.2522005167874423,0.2594060124697404,0.7476727731371483,0.3492239467849224,0.7020042194092828,0.5488354379483757,0.3908582089552239,0.7467105263157894,0.5488354379483757,0.696588897047949,0.5303771177023502,0.6301041853097095,0.5333545347141936,0.5621347244064631
Palette_fastMNN_supervised,0.7690404575315122,0.6183195249122163,0.6394182294607162,0.999131062756414,0.85750276,0.29559204795143823,0.34049625219881174,0.78441112986384,0.4581034261516746,0.8111801083512216,0.7421109222652154,0.42712177121771217,0.7983556298773691,0.7421109222652154,0.7564773186652147,0.5695005471292626,0.6816866100508339,0.6704648189227038,0.6558627744534322
Palette_Seurat,0.7240602541749785,0.5676936500228451,0.593472808599472,0.9980127293130626,0.8457635,0.18944764137268066,0.22795183989958265,0.7530371477489125,0.2893622481714359,0.6802513774104684,0.5733569847161817,0.22667910447761194,0.6167773561037319,0.5733569847161817,0.7208098605275896,0.5040500333815833,0.634105929669187,0.5143235367660287,0.47227114843250845
Palette_Seurat_supervised,0.7594282757118603,0.6312380354039284,0.6371316462755203,0.9987036093421604,0.85864276,0.24205522103743118,0.28242780847290044,0.7490375753704276,0.5084049788271525,0.7836869173899068,0.7025706014315602,0.3039485766758494,0.6319286728176011,0.7025706014315602,0.7566253916833674,0.5330408404549234,0.6671915711919898,0.6648874992162065,0.5461492836416703
Palette_denovo,0.6997911509219172,0.4706868738546679,0.5486358031630516,0.994005913319795,0.878619,0.2726170366460627,0.3478442633969294,0.7626080017634242,0.4482758620689655,0.7772699004975124,0.7427638850774645,0.46786042240587694,0.8284649122807017,0.7427638850774645,0.678279935314858,0.5654220792558109,0.6331367928912391,0.6561032158813142,0.6796964065880143
Palette_denovo_supervised,0.7546696714499803,0.5758409589673666,0.6394335627555847,0.9987071700718092,0.8720445,0.32729135860096326,0.4250314678865171,0.7915618352249555,0.5397232188621219,0.8461949265687583,0.8284972906254924,0.5536181342632955,0.8611897274633125,0.8284972906254924,0.7421628408111852,0.603982291350312,0.686890621026836,0.7381384786854576,0.7477683841173667
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Modality mixing,Modality mixing,Modality mixing,RQ mixing,RQ mixing,RQ mixing,Aggregate score,Aggregate score,Aggregate score,Aggregate score,Aggregate score
