Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,CkBET,CSAS,CiLISI,CkBET(RQ),CSAS(RQ),CiLISI(RQ),Bio conservation,Batch correction,Total,Modality mixing,RQ mixing
MIDAS,0.40025750401834,0.18849419363597286,0.4231608137488365,0.9765897989273071,0.8796317,0.18191593343561346,0.07083115840482399,0.5577604338585381,0.0,0.576954806312769,0.23461378978371422,0.0011890606420927466,0.03850844277673542,0.23461378978371422,0.4971255775826141,0.42253480595763426,0.4672892689326221,0.27052286536549436,0.0914370977341808
Multigrate,0.5969669550184288,0.3953706014104107,0.519026730209589,0.9866605219633683,0.93139285,0.1423217166553844,0.0580193588240552,0.782462005302027,0.000992063492063492,0.4629854368932039,0.17222085779344984,0.09433962264150944,0.46491769547325107,0.17222085779344984,0.6245062021504492,0.4785489823182838,0.566123314217583,0.21206611939290576,0.24382605863607013
Palette_harmony,0.6822355940250957,0.46100451024123307,0.5681982636451721,0.9956910351048345,0.8440626,0.17594289779663086,0.20110513140323558,0.7256175717708162,0.04212860310421286,0.7290598899012908,0.3187251664981553,0.15344376634699217,0.47869971264367817,0.3187251664981553,0.6767823507540838,0.48668205683313237,0.6007422331857032,0.3633045531678863,0.31695621516294187
Palette_harmony_supervised,0.7064932802458123,0.53344672403732,0.6026926338672638,0.9971921703089839,0.85868746,0.18969657204367898,0.19856441276679293,0.7292663675768498,0.08195292066259809,0.7513668224299066,0.32960589313115213,0.16564952048823017,0.5026579565878612,0.32960589313115213,0.709956202114845,0.4940537032024594,0.6235952025498908,0.38764187874121897,0.3326377900690811
Palette_fastMNN,0.6961242351165154,0.4632284902296143,0.5634736865758896,0.9956128078958263,0.8599236,0.21703865311362527,0.20427572167916508,0.7275143662666061,0.0761151275405811,0.7776133040935673,0.382912071855553,0.3431952662721893,0.7322841726618705,0.382912071855553,0.6796098049544614,0.5021880855524773,0.6086411171936678,0.4122135011632338,0.4861305035965376
Palette_fastMNN_supervised,0.7301080820815489,0.5688510507098922,0.6144129410386086,0.9977703768274059,0.86244375,0.23743690143931995,0.2480092812632154,0.7331436122783902,0.08020924149956409,0.8053768033409262,0.43282900875016045,0.31128086209248396,0.7108416945373467,0.43282900875016045,0.7277856126643638,0.5202583850292966,0.644774721610337,0.4394716845302169,0.4849838551266637
Palette_Seurat,0.6832890280548906,0.5198714126716357,0.5656160935759544,0.9947829609331877,0.8306556,0.18575891581448642,0.18595356406879984,0.7128707013056657,0.05892784067657891,0.7580607476635514,0.3476356316323652,0.22057541412380122,0.5679592959295929,0.3476356316323652,0.6908898738089171,0.478809688996884,0.6060577998841039,0.3882080733241651,0.3787234472285865
Palette_Seurat_supervised,0.7287179580487493,0.6517652197652374,0.6223506033420563,0.9970291023669036,0.8417916,0.2053759748285467,0.24070003611063817,0.7388344542893351,0.08233788395904437,0.8028260250569477,0.3752907223414154,0.28078358208955223,0.6243620414673046,0.3752907223414154,0.7499657208807367,0.506675523754945,0.65264964203042,0.4201515437858025,0.42681211529942403
Palette_denovo,0.6459284428867339,0.39026101918207035,0.5411600209772587,0.9895460139150205,0.86081785,0.2801500233736905,0.3178231685343306,0.7309594787880528,0.2315982106547377,0.8485085227272727,0.5584377837071894,0.46730083234244946,0.813757940488131,0.5584377837071894,0.6417238742402709,0.5474376300830379,0.6040093765773777,0.5461815056964,0.6131655188459233
Palette_denovo_supervised,0.7200108972830658,0.5335647489462668,0.6050567403435707,0.9957188471503879,0.8658438,0.3271414583379572,0.46976997082487637,0.7556521633611557,0.3215158924205379,0.8854656862745097,0.6119851995123001,0.5681353157822944,0.8798245614035088,0.6119851995123001,0.7135878084308228,0.6046018413530432,0.669993421599711,0.6063222594024493,0.6866483588993678
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Modality mixing,Modality mixing,Modality mixing,RQ mixing,RQ mixing,RQ mixing,Aggregate score,Aggregate score,Aggregate score,Aggregate score,Aggregate score
