Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,CkBET,CSAS,CiLISI,CkBET(RQ),CSAS(RQ),CiLISI(RQ),Bio conservation,Batch correction,Total,Modality mixing,RQ mixing
MIDAS,0.39546638034923665,0.16901327971294236,0.4286881536245346,0.9880976728771044,0.8952287,0.1726433363827792,0.08718040188325865,0.5756937591954764,0.0,0.45197482638888886,0.2061714734568533,0.000422237860661506,0.021927083333333285,0.2061714734568533,0.4953163716409545,0.43268654535250783,0.47026444112557586,0.2193820999485807,0.07617359821694937
Multigrate,0.624271795774547,0.38527196862181573,0.5290568470954895,0.9885559496672257,0.93229455,0.16297858411615546,0.09159423237466308,0.8069887756190792,0.0,0.3447688564476885,0.13526677126002162,0.0814966683751922,0.3643318965517242,0.13526677126002162,0.6317891402897695,0.49846403491693214,0.5784590981406346,0.16001187590257004,0.19369844539564599
Palette_harmony,0.7034004298597325,0.5212826916589707,0.5809827148914337,0.9969143504681794,0.84905225,0.18162408742037686,0.1639897883562577,0.6975130344848685,0.02684017893452623,0.6101378751013787,0.2942577011371805,0.13367609254498714,0.4129973414008068,0.2942577011371805,0.7006450467195791,0.47304479016169687,0.6096049440964262,0.3104119183910285,0.2803103783609915
Palette_harmony_supervised,0.7333288164480942,0.5698733872637932,0.6265227049589157,0.9979960244634877,0.85643667,0.19305242191661487,0.2274828745567139,0.7354203903554177,0.08385744234800839,0.6600293132328308,0.3518877585945759,0.14377608978306988,0.4557449494949495,0.3518877585945759,0.7319302332835728,0.5030980891638135,0.640397375635669,0.36525817139180505,0.31713626595753175
Palette_fastMNN,0.7049954503477278,0.44294594604765086,0.5727662369608879,0.9968981380048005,0.8623647,0.23863393610174005,0.2405394744501769,0.7320252452031869,0.09341716925445913,0.7452458878818395,0.41115045056522237,0.2442049613664091,0.6159974993053626,0.41115045056522237,0.6794014428402668,0.5183908412830982,0.6149972022173994,0.41660450256717363,0.4237843037456647
Palette_fastMNN_supervised,0.760387304571956,0.5997161317547187,0.6261503398418427,0.998444500176803,0.8663702,0.26392360167069867,0.26953676213553207,0.7500125019003185,0.11732411549410329,0.7960600907029478,0.5124243738562857,0.2875460373755286,0.6668440974686539,0.5124243738562857,0.7461745690863302,0.5374607667043473,0.662689048133537,0.4752695266844456,0.48893816956682273
Palette_Seurat,0.7009027175031513,0.5235300728519668,0.5842498242855072,0.996489809907001,0.8167155,0.1699547984383323,0.21521439187570499,0.6886097902386128,0.06097560975609756,0.6662617489090299,0.2701912411728454,0.20455469703131354,0.5847664835164834,0.2701912411728454,0.7012931061369065,0.4726236148624362,0.6098253096271185,0.3324761999459909,0.35317080724021416
Palette_Seurat_supervised,0.7148526183926751,0.5595458866001157,0.6326876133680344,0.9978779450706814,0.84477097,0.19256802038712936,0.24471338384314814,0.7189511490723524,0.12469437652811736,0.6990060763888889,0.3554782063877344,0.271455223880597,0.592769495994321,0.3554782063877344,0.7262410158578767,0.5002508803157468,0.6358449616410247,0.3930595531015802,0.4065676420875508
Palette_denovo,0.6849658848482739,0.4546739938971191,0.5566106997430325,0.9921861835148024,0.8751399,0.3176654035394842,0.4025285352349563,0.7401626279750193,0.2903543307086614,0.8506235827664399,0.6324408759290086,0.5671104713925873,0.8974122807017544,0.6324408759290086,0.672109190500807,0.5838741147126869,0.636815160185559,0.5911395964680366,0.6989878760077834
Palette_denovo_supervised,0.737957558349942,0.6017407149313964,0.6238216310739517,0.996973032536714,0.869442,0.33545589447021484,0.5416740701084538,0.7839286994936079,0.4246031746031746,0.8967829457364341,0.6843958523926701,0.6348324672997671,0.9198388203017832,0.6843958523926701,0.740123234223001,0.6326251625390652,0.6971240055494267,0.6685939909107596,0.7463557133314067
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Modality mixing,Modality mixing,Modality mixing,RQ mixing,RQ mixing,RQ mixing,Aggregate score,Aggregate score,Aggregate score,Aggregate score,Aggregate score
