"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","CkBET","CSAS","CiLISI","Bio conservation","Batch correction","Total","Modality mixing"
"1","Palette_drop5_shuffled5","0.7873603830784028","0.6963794419997553","0.6581264287233353","0.9992887559144393","0.8917853236198425","0.5075052976608276","0.5433763920877689","0.8201198850593977","0.5872727272727273","0.8433235867446394","0.8096157892857665","0.7852887524289832","0.6906967246069592","0.7474519413001737","0.746737367767711"
"2","Palette_drop5_shuffled10","0.7910918259136852","0.6957214102717035","0.6688875257968903","0.9993541707163272","0.8874210715293884","0.5196660757064819","0.6160138763544609","0.8080707734636811","0.5586206896551724","0.8876146788990826","0.8344614581554379","0.7887637331746515","0.707792949263503","0.7563754196101922","0.7602322755698977"
"3","Palette_drop5_shuffled20","0.7947585327087368","0.7089879547618135","0.6620015949010849","0.9992159553196119","0.884179413318634","0.5182464122772217","0.5820469789209234","0.8060514951102217","0.6221009549795361","0.8734417344173442","0.8321592369251385","0.7912410094228117","0.6976310749067502","0.7537970356163872","0.7759006421073397"
"4","Palette_drop1_shuffled5","0.7240769083373987","0.5686852948782417","0.6235630884766579","0.997122391410496","0.8906653523445129","0.5123265385627747","0.6120910127048136","0.8383046020681949","0.6780045351473923","0.9148240165631469","0.8340329183053985","0.7283619207756986","0.713346876420074","0.7223559030334488","0.808953823338646"
"5","Palette_drop1_shuffled10","0.7290925827170214","0.5754667674353651","0.6223134547472","0.9971645241198333","0.8940194249153137","0.5152670741081238","0.6240987446104617","0.8270621669759884","0.6639004149377593","0.9233333333333333","0.8543376082333641","0.731009332254855","0.7151118526524719","0.7246503404139018","0.8138571188348189"
"6","Palette_drop1_shuffled20","0.7235381679422134","0.5587372658463955","0.6201970279216766","0.996813178062439","0.8903088569641113","0.5231006145477295","0.6450102515966053","0.8111281036286121","0.7329545454545454","0.9085271317829458","0.8262235161869977","0.7248214099431811","0.7173869566842646","0.7218476286396145","0.8225683978081629"
"7","Palette_drop6_shuffled5","0.7642007310555861","0.6398646461442836","0.6428134441375732","0.9982514381408691","0.8914599418640137","0.49901682138442993","0.5763583655504086","0.804117283985733","0.6140787182166493","0.9007239066178162","0.8442919794105755","0.761282564869578","0.6927381031961463","0.7338647802002053","0.7863648680816803"
"8","Palette_drop6_shuffled10","0.7500071017662662","0.6234830516203542","0.6440050452947617","0.9983048905497012","0.8921670913696289","0.511816680431366","0.5902179451069829","0.8217924298586539","0.5857969895793129","0.8958969907407407","0.815503389993296","0.7539500223077708","0.7039985366916579","0.7339694280613256","0.7657324567711165"
"9","Palette_drop6_shuffled20","0.7658549567008877","0.6487972393488891","0.643446534872055","0.9983784323153289","0.8913171887397766","0.5123059749603271","0.6072346964285574","0.8072188793596616","0.6386854149110777","0.8980859148622307","0.8424936920685269","0.7641192908092902","0.7045191848720808","0.7402792484344064","0.7930883406139451"
"10","Palette_drop4_shuffled5","0.7422234996980015","0.5596840543718987","0.6358931809663773","0.997774600982666","0.9009920358657837","0.511294424533844","0.6251472461252019","0.7933434013613708","0.6672443674176777","0.8855443974630022","0.8340167434910277","0.7338938340047358","0.7076942769715502","0.7234140111914615","0.7956018361239025"
"11","Palette_drop4_shuffled10","0.7564571317928533","0.6199877655285339","0.6442221105098724","0.9981388060942941","0.9018529653549194","0.5115994215011597","0.6480937808577109","0.813615238358944","0.650375939849624","0.8932875264270614","0.8601597961718863","0.7547014534813884","0.7187903515181835","0.7403370126961064","0.8012744208161906"
"12","Palette_drop4_shuffled20","0.7517920500884249","0.6040387711978346","0.6424971222877502","0.9980029126872187","0.8964574933052063","0.5128034353256226","0.6381069845511576","0.7957061492546128","0.6550387596899225","0.8718464052287581","0.8366072107607776","0.7490827140653071","0.7107685156091498","0.7337570346828441","0.7878307918931527"
"13","Palette_drop2_shuffled5","0.7344969657056788","0.5869166421817705","0.6376567780971527","0.9982033086859662","0.8910872936248779","0.5103055834770203","0.6201377309739541","0.7986780414648192","0.6613817808465488","0.9092172626670081","0.8171528292179853","0.7393184236676421","0.7050521623851679","0.7256119191546524","0.795917290910514"
"14","Palette_drop2_shuffled10","0.7494271467983947","0.5937381626093592","0.6363110393285751","0.9981071223383364","0.8892138600349426","0.5128443241119385","0.609683831892484","0.8100551855945205","0.6455903128542084","0.8875648205384827","0.8355667459327865","0.7443958677686664","0.7054493004084714","0.7288172408245884","0.7895739597751592"
"15","Palette_drop2_shuffled20","0.7347725775632424","0.5754051917771739","0.6300143450498581","0.9978475415188334","0.8896382451057434","0.5183666944503784","0.5901420769438758","0.8033442536057432","0.559786941580756","0.8756875126033473","0.832166564017059","0.7345099139772769","0.7003728175264352","0.7208550753969403","0.7558803394003876"
"16","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Modality mixing","Modality mixing","Modality mixing","Aggregate score","Aggregate score","Aggregate score","Aggregate score"
