"","V1","CkBET","CSAS","CiLISI","Modality mixing"
"1","Palette_homo","0.5854922279792746","0.8401566595187038","0.7908205083461091","0.7388231319480291"
"2","Palette_non","0.6246462264150944","0.8058151655944723","0.786050101662487","0.7388371645573514"
"3","Multigrate_homo","0.09125156969443282","0.22663759192748417","0.02924814631005407","0.11571243597732368"
"4","Multigrate_non","0.03848476890756303","0.17518813066529842","0.02369066680735127","0.07912118879340424"
"5","scMoMaT_homo","0.07712431979907912","0.24846454494695702","0.11345256568852125","0.1463471434781858"
"6","scMoMaT_non","0.048005409060175794","0.1373197625106022","0.00848910594526081","0.06460475917201293"
"7","MIDAS_homo","0.19241013449558653","0.5647811154969782","0.4093475263508919","0.38884625878115225"
"8","MIDAS_non","0.1893867924528302","0.5629432624113475","0.41289211818612254","0.38840739101676675"
"9","scVAEIT_homo","0.0004622597900019811","0.009956065759637233","0.0","0.003472775183213072"
"10","scVAEIT_non","4.7440580672707434e-05","0.00452522255192882","0.0","0.001524221044200509"
"11","StabMap_non","0.17172457095018837","0.5280125685013104","0.36068702985332557","0.35347472310160805"
"12","StabMap_homo","0.1751631970224378","0.5084763243341728","0.36249458245447025","0.3487113679370269"
"13","scPoli","0.4740262820816927","0.8281493001555209","0.7552553750228657","0.6858103190866931"
"14","SIGNAL","0.33087151432261985","0.7718471810089022","0.6947921023693795","0.5991702659003005"
"15","Seurat","0.4212139791538933","0.7886387995712755","0.7059578714565657","0.6386035500605781"
"16","scANVI","0.2268546903740037","0.5312354312354313","0.38265466002365417","0.38024826054436306"
"17","Harmony","0.0858806404657933","0.2530456194919647","0.0745028788322144","0.1378097129299908"
"18","fastMNN","0.0051813471502590676","0.06353857566765578","1.1920930376163597e-07","0.022906680675739536"
"19","Metric Type","Modality mixing","Modality mixing","Modality mixing","Aggregate score"
