"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","Batch correction","Bio conservation","Total"
"1","Palette","0.8277917924139478","0.7762352008055314","0.6615627259016037","0.999999980131785","0.8664275","0.5770264863967896","0.4703575304428889","0.9233231912025537","0.7092836723041753","0.816397424813217","0.7735519238096003"
"2","StabMap","0.3323522181271772","0.15660134256300023","0.45587292313575745","0.9359738628069559","0.71085495","3.5762786865234375e-07","0.1221847873967276","0.2875306066181691","0.2801426748024378","0.47020008665822266","0.3941771219159087"
"3","Multigrate","0.5704342724360038","0.39892576491204185","0.4832030199468136","0.9988797704378763","0.24031326","0.0","0.000909279948521984","0.5967323794204585","0.20948873027908518","0.6128607069331838","0.45151191627154436"
"4","scMoMaT","0.321235908153907","0.12003743000718184","0.5044422587379813","0.9481845498085022","0.70679337","0.0","0.009335480598100016","0.423058421596696","0.28479681751437436","0.47347503667689306","0.39800374901188557"
"5","midas","0.387086394189318","0.19581585187722791","0.5143250050023198","0.9986542264620463","0.6209981","2.384185791015625e-07","0.0052411987361792225","0.6017770872846501","0.307004152246136","0.523970369382728","0.4371838825280912"
"6","scVAEIT","0.6285509792396188","0.4396913017127415","0.5524187758564949","0.999999980131785","0.4751503","0.0","0.007338676852375518","0.5989446141902776","0.2703583945484974","0.65516525923516","0.501242513360495"
"7","bindSC","0.682292173857285","0.4244198309572331","0.5519968047738075","0.9999999503294627","0.8631487","0.11175477504730225","0.03981027835757305","0.9229115735993972","0.48440632906857306","0.664677189979447","0.5925688456150975"
"8","uniPort","0.13109334689758545","0.06682229125235671","0.48679785151034594","0.9101463556289673","0.7940095","0.30008625984191895","0.03910680104320669","0.5695433868191881","0.42568648860168423","0.3987149613223139","0.409503572234062"
"9","UINMF","0.78566962491142","0.6892811321922572","0.6817491054534912","0.999999980131785","0.9334773","0.40978479385375977","0.5541801968400538","0.9227828343250573","0.7050562768857449","0.7891749606722384","0.755527487157641"
"10","fastMNN","0.7375159677194499","0.5949137559036788","0.6087798774242401","0.999999980131785","0.7374258","1.1920928955078125e-07","0.06124718383172367","0.9326934280080089","0.4328416337968014","0.7353023952947885","0.6143180906955936"
"11","Seurat","0.7708619254505396","0.5695311153806076","0.6499930322170258","0.999999980131785","0.8052711","0.05705690383911133","0.20798947458170297","0.918188283466524","0.49712643774108356","0.7475965132949894","0.647408483073427"
"12","Harmony","0.6816083956662239","0.5354799709967332","0.5805103033781052","0.999999980131785","0.6395289","1.1920928955078125e-07","0.1272870794321898","0.9002495465656791","0.4167664039474348","0.6993996625432118","0.5863463591049011"
"13","GLUE","0.6915410101411478","0.4281128025374517","0.6368445008993149","0.9999999602635702","0.8535843","0.7329368591308594","0.3699584572034691","0.943830876910546","0.7250776206989139","0.6891245684603712","0.7035057893557882"
"14","scConfluence","0.8181455034472446","0.7765216646813875","0.7074746936559677","0.9999999900658926","0.8569074","0.018105745315551758","0.09769996612856335","0.9460342546300591","0.47968684834627945","0.8255354629626231","0.6871960171160856"
"15","SIMBA","0.7872255238534204","0.6533488183259619","0.6916747093200684","0.999999980131785","0.6866244","3.5762786865234375e-07","0.1004874078533841","0.5854941572530669","0.34315158262564227","0.7830622579078089","0.6070979877949423"
"16","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Aggregate score","Aggregate score","Aggregate score"
