"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","Batch correction","Bio conservation","Total"
"1","Palette","0.896644141866653","0.7592932495735522","0.7074072957038879","1.0","0.9322388","0.716151237487793","0.45219379820944944","0.9558592713212819","0.7641107810583725","0.8408361717860233","0.810146015494963"
"2","BindSC","0.7506215548934486","0.5921911659165432","0.5633406192064285","0.9996608776204726","0.94175506","0.5580970048904419","0.2903630947886068","0.9163895733864647","0.6766511823616848","0.7264535544092232","0.7065326055902079"
"3","Seurat","0.6980311144517514","0.5116422020131524","0.6068572327494621","0.997937468921437","0.8829952","0.23498964309692383","0.1960381183235481","0.8825962961531219","0.5491548114524576","0.7036170045339507","0.6418321273013534"
"4","Harmony","0.5771360281845719","0.31669508067374874","0.565885953605175","0.9968618925879983","0.8599378","0.016530632972717285","0.1831163700480924","0.8819932682600599","0.4853945145842097","0.6141447387628735","0.562644649091408"
"5","fastMNN","0.6608988739569074","0.45603668600929104","0.5834454968571663","0.9982797398286707","0.88806325","0.11985397338867188","0.15817029291219142","0.8989442625915542","0.516257945216154","0.6746651991630088","0.6113022975842669"
"6","midas","0.46186076236642193","0.2044606697161137","0.5036070679780096","0.9994903452256146","0.5835768","0.0","0.0010022104932400733","0.5586859024490385","0.2858162278453261","0.54235471132154","0.4397393179310545"
"7","scMoMaT","0.2083156690525279","0.08003873582719431","0.4649821035563946","0.9052677014294792","0.821746","2.384185791015625e-07","0.07588194786776295","0.4758724917629945","0.34337516743904617","0.414651052466399","0.38614069845545784"
"8","scVAEIT","0.5638748336816389","0.25591946094602","0.5108620766550303","0.9983107132070205","0.33355266","0.0","6.662849566451762e-05","0.5481436357766042","0.22044073070754014","0.5822417711224275","0.43752135495647254"
"9","StabMap","0.5603792119496123","0.2731015334210472","0.5726541504263878","0.9962003160925472","0.80275434","4.76837158203125e-07","0.02592299195523386","0.8855093329319745","0.42854678607009156","0.6005838029723987","0.5317689962114758"
"10","uniport","0.623663555322939","0.46808995409005394","0.5538959391415119","0.9967209591585047","0.8349559","0.0927283763885498","0.10880745327200057","0.8142452484648354","0.46268423730764496","0.6605926019282524","0.5814292560800094"
"11","Multigrate","0.4702765482590904","0.08612086246660737","0.4612703397870064","0.9960193984648761","0.26733664","0.0","0.003613519450077009","0.5220572923719701","0.19825186215093488","0.503421787244395","0.38135381720701095"
"12","UINMF","0.5090122857025285","0.4430333184734093","0.532467357814312","0.9744830552269431","0.74404967","0.4327218532562256","0.19677158437094594","0.7753680401957137","0.5372277865337395","0.6147490043042982","0.5837405171960748"
"13","MaxFuse","0.7130249259402284","0.5111357017955533","0.5553610846400261","0.9991583754034603","0.7997975","7.152557373046875e-07","0.011264720967816404","0.9166511506591744","0.43192851555517753","0.694670021944817","0.5895734193889612"
"14","scConfluence","0.6776778615471784","0.4952967441805293","0.5482968911528587","0.9998652794781853","0.65356195","0.010054230690002441","0.026249428004653144","0.9008724397041785","0.39768451203218835","0.680284194089688","0.5672443212666882"
"15","MaxFuse","0.7130249259402284","0.5111357017955533","0.5553610846400261","0.9991583754034603","0.7997975","7.152557373046875e-07","0.011264720967816404","0.9166511506591744","0.43192851555517753","0.694670021944817","0.5895734193889612"
