"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","Batch correction","Bio conservation","Total"
"1","Palette","0.7559423152197147","0.6491722215706811","0.6476687341928482","0.9995252805597642","0.87866586","0.7181226015090942","0.31807970443538186","0.8756554141836914","0.697630896148947","0.763077137885752","0.7368986411910301"
"2","BindSC","0.5920654154129917","0.44990751596433703","0.529365872964263","0.9936426036498126","0.9444385","0.25859618186950684","0.13872610977085686","0.8826216567465134","0.5560956163701339","0.641245351997851","0.6071854577467642"
"3","Seurat","0.4865277021809832","0.3673255690297851","0.532415896654129","0.972646573010613","0.85062397","0.1056591272354126","0.1398395960788702","0.7167706360980962","0.4532233311689364","0.5897289352188776","0.5351266935989011"
"4","Harmony","0.45818406296990805","0.31441808445297914","0.5238841790705919","0.9728240475935095","0.8186531","0.0079803466796875","0.09446482448923789","0.7140017497762635","0.40877500690866053","0.5673275935217472","0.5039065588765126"
"5","fastMNN","0.44708293810816735","0.3113961593700684","0.519441045820713","0.9660712620791267","0.8255791","0.15147149562835693","0.17097778005731556","0.7276576455382944","0.4689215070079189","0.5609978513445188","0.5241673136098788"
"6","scMoMaT","0.343589442731558","0.21503642747799426","0.5009565988439135","0.9451466097551233","0.8431902","3.5762786865234375e-07","0.08513932732825552","0.6174865500308511","0.3864541070408112","0.5011822697021473","0.45529100463761285"
"7","StabMap","0.47239595423828473","0.23208090618877664","0.546942412853241","0.9795832072987276","0.76795274","2.384185791015625e-07","0.07087142193981408","0.6936800280392825","0.38312610714752227","0.5577506201447575","0.4879008149458634"
"8","uniport","0.3840314753680645","0.26931381280114924","0.5150975156575441","0.974120532765108","0.7906597","0.043953776359558105","0.07255708336337569","0.7286229660100279","0.40894838784975196","0.5356408341479665","0.48496385562868066"
"9","UINMF","0.27523711462399697","0.18523707242705098","0.4841126464307308","0.9369678637560677","0.76962996","0.29398393630981445","0.12587044013297002","0.535933578983983","0.43135447767962887","0.47038867430946163","0.45477499565752855"
"10","MaxFuse_50","0.6822635290073679","0.4429464830938518","0.554752279073","0.9991709695142859","0.7989072","5.960464477539062e-07","0.01306055218873848","0.8952954018448206","0.42681594261090594","0.6697833151721264","0.5725963661476382"
"11","scConfluence_50","0.6565592527946135","0.5176841157892936","0.5427761115133762","0.9997887541266048","0.58669335","0.00543367862701416","0.019236478668678173","0.7702999704420229","0.345415868559528","0.679202058555972","0.5456875825573945"
"12","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Aggregate score","Aggregate score","Aggregate score"
