"","Embedding","KMeans NMI","KMeans ARI","Silhouette label","cLISI","Silhouette batch","iLISI","KBET","Graph connectivity","Batch correction","Bio conservation","Total"
"1","Palette","0.6402835539385496","0.6907117141357639","0.5968472361564636","0.9980851650238037","0.8648905","0.07046365737915039","0.5795157991636738","0.8904572978489993","0.6013318175490285","0.7314819173136452","0.6794218774077985"
"2","StabMap","0.44097250797183757","0.3588065000846026","0.5523391403257847","0.9998093128204346","0.81761247","1.1920928955078125e-07","0.33951481382482734","0.9605012724793368","0.5294071686774433","0.5879818653006649","0.5645519866513762"
"3","Multigrate","0.07851690505494197","0.010729599278594001","0.40296345204114914","0.8692218542099","0.11637452","0.0","0.15926955089858877","0.6757329462015623","0.23784425488693428","0.34035795264614627","0.2993524735424615"
"4","scMoMaT","0.42032782965917054","0.2716078526732088","0.5387655161321163","0.9907342433929444","0.75432104","0.0","0.32397555398535377","0.8970050494226401","0.4938254105327464","0.55535886046436","0.5307454804917145"
"5","midas","0.39677459040347074","0.397523589999012","0.508114792406559","0.950484299659729","0.22640234","0.0","0.15929538089393427","0.7504111486584691","0.284027217967973","0.5632243181171926","0.4515454780575048"
"6","scVAEIT","0.3849976703495578","0.30131344229343504","0.5394336991012096","0.9930322170257568","0.38573527","0.0","0.1592592476422338","0.8474334507494433","0.3481069929382208","0.5546942571924898","0.47205935149078215"
"7","bindSC","0.5169132623498892","0.38987920824291267","0.5320225656032562","0.998716402053833","0.9464061","3.5762786865234375e-07","0.4369327584924485","0.9646354969083184","0.5869936847627436","0.6093828595624728","0.6004271896425811"
"8","uniPort","0.335290811072506","0.29871474048452634","0.528502007946372","0.9801293849945069","0.85195994","2.384185791015625e-07","0.35971007322294524","0.9148577491900008","0.5316320011507218","0.5356592361244779","0.5340483421349754"
"9","UINMF","0.15455380024932744","0.017865787333588908","0.5055992417037487","0.9886342048645019","0.6866155","0.010585308074951172","0.4483459700280363","0.7660337893544998","0.4778951485334163","0.41666325853779174","0.4411560145360416"
"10","fastMNN","0.4961608224003078","0.46055433907037413","0.5646238699555397","0.9999998807907104","0.70093536","0.0","0.34963025974990863","0.9636200781489154","0.5035464254170888","0.6303347280542331","0.5796194069993754"
"11","Seurat","0.3846903999876106","0.3087279858751723","0.53239781036973","0.9972646236419678","0.5348788","0.0","0.3249185689923874","0.9207572074911939","0.44513864171553796","0.5557702049686202","0.5115175796673873"
"12","Harmony","0.39175013665518604","0.3543853257594023","0.5687910094857216","0.9958943843841552","0.7557933","0.0","0.338389755586799","0.828434890345315","0.48065447984526455","0.5777052140711163","0.5388849203807756"
"13","MaxFuse","0.6381913498214598","0.6836840918645095","0.5370612442493439","0.9985299587249756","0.8625726","5.960464477539062e-07","0.3673498229635925","0.9458594739230018","0.5439456258278269","0.7143666611650722","0.6461982470301741"
"14","scConfluence","0.40283489271936496","0.27083404051303106","0.4964689682237804","0.9879679679870605","0.81600267","0.0","0.34818972501188283","0.8868968710827251","0.5127723157612084","0.5395264673608092","0.5288248067209689"
"15","Metric Type","Bio conservation","Bio conservation","Bio conservation","Bio conservation","Batch correction","Batch correction","Batch correction","Batch correction","Aggregate score","Aggregate score","Aggregate score"
