"ARI","ASW","NMI","Method","Task"
0.653688955221406,0.215639740228653,0.796288271406875,"Palette","RNA"
0.541131818035859,0.161327347159386,0.76056956537111,"MIDAS","RNA"
0.000227744582863812,-0.0920821279287338,0.0164081415384205,"Multigrate","RNA"
0.528167061733986,0.291338056325912,0.755269481334433,"scVAEIT","RNA"
0.584431931149372,0.173212274909019,0.778570767634617,"Palette","RNA"
0.426219242268337,0.110735319554806,0.704147582335551,"MIDAS","RNA"
-0.00115488941203652,-0.303719133138657,0.0178972859127805,"Multigrate","RNA"
0.444394866922962,0.2374467253685,0.724704391846867,"scVAEIT","RNA"
0.332827838190443,0.104257829487324,0.569156098994045,"Palette","RNA"
0.286031501270673,0.0335743725299835,0.542835473331314,"MIDAS","RNA"
0.00107856416427967,-0.180968895554543,0.0127579634247115,"Multigrate","RNA"
0.143494673048367,-0.0853370204567909,0.378119539599486,"scVAEIT","RNA"
0.378988680477965,0.0869752764701843,0.632425886813126,"Palette","RNA"
0.317591648390845,0.0446884483098984,0.611356892081934,"MIDAS","RNA"
-0.00114397057713708,-0.107416726648808,0.0147628726118386,"Multigrate","RNA"
0.185072478950689,-0.0322675593197346,0.464564726838558,"scVAEIT","RNA"
0.673660170662966,0.265686810016632,0.788574986672726,"Palette","ADT"
0.582954963918165,0.200249820947647,0.7846987731786,"MIDAS","ADT"
0.386053663749827,0.0578066110610962,0.641934545945856,"Multigrate","ADT"
0.692925355757795,0.487144261598587,0.828221697940847,"scVAEIT","ADT"
0.511315218834568,0.210278525948524,0.727851033490635,"Palette","ADT"
0.461249926372715,0.159318670630455,0.728821738943909,"MIDAS","ADT"
0.000596534603299319,-0.165541455149651,0.0195380757883461,"Multigrate","ADT"
0.536280509182884,0.350379228591919,0.764072866371738,"scVAEIT","ADT"
0.498951744794758,0.0420054310800325,0.67265967804084,"Palette","ATAC"
0.140431135085731,-0.502584909186297,0.390661302696277,"MIDAS","ATAC"
-0.000275281365275861,-0.0912128989467023,0.0118260799823801,"Multigrate","ATAC"
0.359828476875525,0.230996732889805,0.621016154145139,"scVAEIT","ATAC"
0.573423384206567,0.0914326005565368,0.732938739798182,"Palette","ATAC"
0.192243611221759,-0.425789671560402,0.455652353679413,"MIDAS","ATAC"
0.000455139086080976,-0.0952449279119399,0.0153746102607211,"Multigrate","ATAC"
0.487770852016124,0.236177829636983,0.731385137594991,"scVAEIT","ATAC"
