Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,Batch correction,Bio conservation,Total
Palette Unsupervised,0.8564499089761429,0.6194183037575675,0.7249117791652679,1.0,0.92879957,0.42578214406967163,0.5450315574958086,0.9162884811397426,0.7039754380780009,0.8001949979747446,0.761707174016047
Palette Supervised,0.8826733668217248,0.7773942945993063,0.7557406723499298,1.0,0.89685297,0.43974483013153076,0.556096112709086,0.9192507908637856,0.7029861759569234,0.8539520834427402,0.7935657204484134
STACAS,0.8663241579798092,0.6612482727184684,0.6813886314630508,1.0,0.8980694,0.40760236978530884,0.4161885186995346,0.950433590673379,0.6680734652180225,0.8022402655403321,0.7485735454114082
ssSTACAS,0.86666884744884,0.6618916184227116,0.6814882904291153,1.0,0.8995637,0.4076075553894043,0.41150258125676614,0.951072434411119,0.6674365752050802,0.8025121890751667,0.7484819435271322
SIGNAL,0.8656821742741655,0.6603230552481466,0.7049391120672226,1.0,0.94477576,0.43464237451553345,0.5980708375884413,0.9202134687939735,0.7244256102679364,0.8077360853973836,0.7744118953456047
scPoli,0.890367249641946,0.6691070700265757,0.7851874828338623,1.0,0.94447047,0.436751127243042,0.6006926762704738,0.9406667458905251,0.7306452536468248,0.836165450625596,0.7939573718340875
scANVI,0.8431190543201891,0.5966337452815665,0.6814620047807693,1.0,0.8957483,0.39439964294433594,0.46204585022217587,0.9882078854767457,0.6851004239712315,0.7803037010956313,0.7422223902458713
fastMNN,0.8463230545409688,0.5840584494089387,0.6678198277950287,1.0,0.9028923,0.33411574363708496,0.2557482262717019,0.9484730229789539,0.6103073211084021,0.774550332936234,0.7088531282051012
Harmony,0.8482548883254376,0.622401121249098,0.6599467098712921,1.0,0.8974022,0.38896191120147705,0.376006291371159,0.9654636972362417,0.6569585316834435,0.782650679861457,0.7323738205902516
Seurat,0.8415279561630198,0.5915228506655867,0.6695418059825897,1.0,0.881125,0.4406992793083191,0.32033847696277684,0.9444075766880792,0.6466425765640735,0.775648153202799,0.7240459225473088
