Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,Batch correction,Bio conservation,Total
Palette Unsupervised,0.8737700308917385,0.915919781029222,0.7475743889808655,0.9999999908300546,0.8271833,0.26998329162597656,0.40421166222473837,0.8806687062418146,0.5955117415774307,0.8843160479329703,0.7687943253907544
Palette Supervised,0.8439908648327433,0.764524954564346,0.7695699632167816,0.9999999908300546,0.7954097,0.22548329830169678,0.5116844359061266,0.9396313488892094,0.6180521906274686,0.8445214433609814,0.7539337422675763
STACAS,0.8753280532580348,0.9162535306843078,0.7521880567073822,0.9999999908300546,0.8277497,0.29262107610702515,0.6684187271832466,0.897011090814457,0.6714501558153056,0.8859424078699448,0.8001455070480892
ssSTACAS,0.8535313210102811,0.8543135837714341,0.7546503245830536,0.9999999908300546,0.82066774,0.27692317962646484,0.6045870225339022,0.8932350666441364,0.6488532531218412,0.8656238050487058,0.77891558427796
SIGNAL,0.8101193902847003,0.6407564554858556,0.7423964142799377,0.9999999908300546,0.8194013,0.32945799827575684,0.6563437132042556,0.8972083592058099,0.6756028486202852,0.7983180627201371,0.7492319770801963
scPoli,0.7713629193352498,0.49136855720087513,0.6944939345121384,0.9999999908300546,0.882603,0.3641205430030823,0.700801423517531,0.9340081292631587,0.7203832713643467,0.7393063504695795,0.7317371188274864
scANVI,0.7837541547318029,0.5575472022919091,0.7549951672554016,0.9999999908300546,0.78106916,0.32784801721572876,0.558305171110084,0.9764342012286127,0.6609141372655443,0.7740741287772921,0.7288101321725929
fastMNN,0.8019214617367223,0.7189724609305796,0.674500972032547,0.9999999908300546,0.8404539,0.13687127828598022,0.3588342899068678,0.9071039598452897,0.5608158626966758,0.7988487213824759,0.7036355779081558
Harmony,0.8195364916793162,0.8185038907235996,0.6825049966573715,0.9999999908300546,0.85654217,0.31905558705329895,0.6528590063265807,0.8987562622271118,0.6818032564136879,0.8301363424725855,0.7708031080490265
Seurat CCA,0.8568466650719023,0.8795210470841994,0.7235018610954285,0.9999999816601093,0.8156637,0.3425385355949402,0.6022754275615664,0.8729357302229129,0.6583533471787019,0.8649673887279099,0.7823217721082267
RAW,0.7170930470986029,0.5108412494728402,0.5963057950139046,0.9999999908300546,0.8011569,0.005529165267944336,0.26003043190712755,0.7589420762855762,0.45641463798300563,0.7060600206038505,0.6062018675555125
Palette miss 5%,0.8865506905808939,0.9302243438809922,0.7668668925762177,0.9999999908300546,0.799373,0.22142043709754944,0.5148656373772788,0.9378021493981424,0.6183652987327156,0.8959104794670396,0.78489240717331
Palette miss 10%,0.8608896826751629,0.8456804219261764,0.7661416530609131,0.9999999908300546,0.80264264,0.2135465145111084,0.5110759106209317,0.9448271444334831,0.6180230532543035,0.8681779371230768,0.7681159835755674
Palette miss 20%,0.8910868732103078,0.9341712985244242,0.7666568160057068,0.9999999908300546,0.80902684,0.21451431512832642,0.49977578189787847,0.9474526133315982,0.6176923869266853,0.8979787446426234,0.7858642015562481
SIGNAL miss 5%,0.8103414521713057,0.6408906529207953,0.7433224767446518,0.9999999908300546,0.8189419,0.3275584578514099,0.6558070268080426,0.8916278816263351,0.6734838143697944,0.7986386431667019,0.7485767116479389
SIGNAL miss 10%,0.8079046273136007,0.6296002157585109,0.7435671538114548,0.9999999908300546,0.8213159,0.3258386254310608,0.6381414028078803,0.8998921537896941,0.6712970166546961,0.7952679969284052,0.7456796048189216
SIGNAL miss 20%,0.8072034118642474,0.6285297653480209,0.7455048561096191,0.9999999908300546,0.8241046,0.32272565364837646,0.6447612489351555,0.8884809151692951,0.6700181062145205,0.7953095060379856,0.7451929461085995
ssSTACAS miss 5%,0.8462578816666303,0.8284817666255199,0.7111187130212784,0.9999999908300546,0.8217363,0.2288142442703247,0.4769027117160777,0.917165582207911,0.6111547035860158,0.8464645880358709,0.7523406342559288
ssSTACAS miss 10%,0.8462149566477462,0.8281959289755427,0.7110158354043961,0.9999999908300546,0.8225253,0.22945159673690796,0.47948781050858114,0.9142016121115439,0.6114165854485798,0.8463566779644349,0.7523806409580929
ssSTACAS miss 20%,0.8452386408724178,0.827814770754345,0.7106301784515381,0.9999999908300546,0.82690305,0.2289198637008667,0.4802575719868229,0.9155074981971787,0.612896994765582,0.8459208952270889,0.7527113350424862
